Aréna de Matagami,"30, rue Cavellier, C.P. 160",Matagami
Aréna de Ste-Germaine-Boulé,"240 rue Roy",Sainte-Germaine-Boulé
Aréna Jean-Guy-Perron,"500, Place Quévillon, C.P. 430",Lebel-sur-Quévillon
"Aréna lamgold, Jacques-Laperrière, Évain et Cloutier","218, avenue Murdoch",Rouyn-Noranda
Aréna Nicol Auto de La Sarre,"550, rue Principale",La Sarre
Aréna Rogatien-Vachon,"71, 6e Avenue Ouest, C.P. 64",Palmarolle
Centre air Creebec,"810, 6e Avenue",Val-d'Or
Centre Joachim-Tremblay,"34, 6e Avenue Ouest",Macamic
Centre Michel-Brière,"901, rue Royale",Malartic
Centre Récréatif de Dupuy,"6, 7e Avenue Est",Dupuy
Centre récréatif de Taschereau,"50, rue Morin",Taschereau
Centre sportif André-Dubé,"551, 10e Avenue",Senneterre
Colisée de Guigues,"21, rue Principale Nord",Saint-Bruno-de-Guigues
Complexe sportif d'Amos,"182, 10e Avenue Est",Amos
Le Centre,"20, rue Humphrey, C.P. 730",Témiscaming
Membre honoraire,"24, rue Des Iles",Rivière-Héva
Membre honoraire,"75, 20e Rue",Rouyn-Noranda
Polydium,"85, rue Côté",Notre-Dame-du-Nord
Ville de Ville-Marie,"21, rue St-Gabriel Sud",Ville-Marie
Aréna Connie-Dion,"100, rue Gaspé, C.P. 206",Asbestos
Aréna de Bedford,"15, Marziali",Bedford
Aréna de Magog,"7, rue Principale",Magog
Aréna de Weedon,"520, 2e Avenue",Weedon
Aréna Guy-Nadeau,"1155, rue St-Michel",Saint-Césaire
Aréna Jacques-Chagnon,"350, avenue du Parc",Waterloo
Aréna Jean-Charles-Perreault,"2, boul. Ouellet",Warwick
Aréna Léo-Paul-Boutin,"1051, rue St-Jean",Plessisville
Aréna Mont Ste-Anne,"2100, Chemin Ste-Catherine",Sherbrooke
Aréna Pat Burns (collège Stanstead),"27, Pat Burns",Stanstead
Aréna Valcourt,"1111, boul. des Cyprès",Valcourt
Centre J.A.-Lemay,"11, rue St-Georges, local 230 C.P. 90",Windsor
Centre Marcel-Dionne et Olympia Yvan-Cournoyer,"1145, boul. Jean-de-Brébeuf",Drummondville
Centre récréatif Gérard Couillard,"435, rue Vincent",Coaticook
Centre Récréatif Rock Forest,"5265, rue de Gaspé",Sherbrooke
Centre sportif,"1, 9e Avenue",Daveluyville
Centre sportif d'Acton Vale,"1505, 3e Avenue",Acton Vale
Centre sportif Mégantic,"5400, rue Papineau",Lac-Mégantic
Centre sportif P.E. Lefebvre,"800, rue Gouin",Richmond
Centre sportif Paul-de-la-Sablonnière,"55, rue Baillargeon",Princeville
Complexe sportif Thibault GM,"2959, de l’Université, suite 221",Sherbrooke
Granby Multi-Sports,"601, Léon-Harmel",Granby
Membre à vie,"1455, Bélair",Acton Vale
Membre honoraire,"800, rue Gouin",Richmond
Service des Loisirs de Saint-Hyacinthe,850 rue Turcot,Saint-Hyacinthe
Service des loisirs et de la vie communautaire -Pavillon des sports Roland Desourdy,"220, Place Municipale",Cowansville
"Service des loisirs, culture et tourisme","477, rue de l'Hôtel de Ville",Farnham
Société de l'aréna St-Cyrille Inc.,"4675, rue Principale",Saint-Cyrille-de-Wendover
Ville de Bromont (SLCVC),"88, boul. de Bromont",Bromont
Ville de Sherbrooke (SSCVC),"555, Grandes-Fourches Sud, bloc B
C.P. 610",Sherbrooke
Ville de Victoriaville,"400, boul. Jutras Est",Victoriaville
Aréna Conrad-Parent et Aréna Guy-Carbonneau,"490, rue Jolliet",Sept-Îles
Aréna Daniel-Demers,Place Daviault,Fermont
Aréna Denis-Perron,"1235, de la Digue, R.C.1",Havre-Saint-Pierre
Aréna Terry Lalo,C.P. 290,La Romaine
Centre Henry-Leonard et Centre Henri-Desjardins,"70, rue Michel-Émond",Baie-Comeau
Centre récréatif de Sacré-Coeur,"88, rue Principale Nord",Sacré-Coeur
Centre sportif Charles-Edouard Boucher,"2, rue Sirois",Les Escoumins
Complexe Guy-Ouellet,"1-10, 10e Rue",Forestville
Complexe récréatif et culturel,"21, Des Cèdres",Port-Cartier
Aréna Mario-Vollant,"2, rue Tshi-Nuen",Mani-Utenam
Aréna Brad-ShImun,"179, route 138",Nutashkuan
Aréna Bertrand-Lepage,"5, Notre-Dame Est",Trois-Pistoles
Aréna duBreton,"4, rue du Collège, C.P. 70",Saint-Hubert-de-Rivière-du-Loup
Aréna Gilbert-Desrosiers,"127, Ave. Louisbourg",Bonaventure
Aréna J. Robert-Lévesque,"6, 1re Avenue Ouest",Sainte-Anne-des-Monts
Carrefour Sportif,"55, rue Du Carrefour Sportif",Amqui
Centre culturel de St-Quentin Inc.,"69, rue Pelletier",Saint-Quentin
Centre Premier Tech,"75, rue Frontenac",Rivière-du-Loup
Centre récréatif,"210, du Carrefour, C.P. 548",Grande-Rivière
"Centre sportif (Aréna Cabano et Aréna Jacques-Dubé, Notre-Dame-du-Lac)","861, rue Commerciale Nord",Témiscouata-sur-le-Lac
Centre sportif Clément-Tremblay,"55, rue Ste-Famille, bureau 100",Chandler
Centre sportif Gérard-Duchaîne,"1, rue St-Jacques Nord",Causapscal
Centre sportif John-Lapointe,"19, boul. Perron Est",Caplan
Colisée Béton Provincial,"230, ave. St-Jérôme",Matane
Colisée Financière Sun Life,"111, 2e Rue Ouest, C.P. 710",Rimouski
Complexe Louis-Santerre,101-B rue Collin,Saint-Cyprien
Complexe Sportif de Paspébiac,"185, Rue Maldemay",Paspébiac
Complexe sportif Jean-Marie-Jobin,"121, 5e Rue",New Richmond
Complexe sportif Rosaire-Bélanger,"36, rue des Pins Est",Rivière-Bleue
Membre honoraire,"121, 5e Rue",New Richmond
Membre honoraire,"101 c, rue Collin",Saint-Cyprien
Membre honoraire,"630, rue Vézina",Trois-Pistoles
Membre honoraire,"204, rue Dionne",Matane
Membre honoraire,"372, du Père-Leneuf",Rimouski
Municipalité de Nouvelle,"470, rue Francoeur, C.P. 68",Nouvelle
Municipalité de Port-Daniel-Gascons,"494, Route 132",Port-Daniel
Municipalité de Saint-Jean-de-Dieu,"32, rue Principale Sud",Saint-Jean-de-Dieu
Municipalité des Îles-de-la-Madeleine,"460, chemin Principal","Les Îles-de-la-Madeleine, Cap-aux-Meules"
Palais des sports,"20, rue de l'École",Saint-Léonard
Pavillon des loisirs,"32, avenue de l’Aréna, C.P 39",Saint-Fabien
"Service du développement local, des loisirs et de la culture","25, Hôtel de ville",Gaspé
Services des loisirs Dégelis,"369, Principale",Dégelis
Stade du centenaire,"40, ave. Hôtel de Ville",Mont-Joli
Ville de Carleton-sur-Mer,"629, boul. Perron",Carleton-sur-Mer
"Ville d'Edmundston, Loisirs et Culture","7, chemin Canada",Edmundston
Aréna de Grand-Mère,"601, 3e avenue",Shawinigan
Aréna de Saint-Boniface,"180, rue Langevin",Saint-Boniface
Aréna Émile-Bédard,"540, 207e avenue ",Shawinigan
Aréna Fernand-Asselin,"255, Place Maurice-L. Duplessis",Trois-Rivières
Aréna Gilles-Bourassa,"1609, 117e rue",Shawinigan
Aréna Glace Olympique Énergie,"260, rue Dessureault",Trois-Rivières
Aréna Jean-Guy Talbot,"245, rue de Grandmont",Trois-Rivières
Aréna Jérôme-Cotnoir,"5225, rue de Courcelette",Trois-Rivières
Aréna le Prix du Gros.com,"161, rue Gamelin",Sainte-Anne-de-la-Pérade
Aréna Pierre-Provencher,"180, rue de Monseigneur-Panet",Nicolet
Aréna Roland-Rheault,"1295, avenue Nicolas-Perrot",Bécancour
Centre culturel et sportif,"185, Route 218",Saint-Pierre-les-Becquets
Centre Gervais Auto,"1, rue Jacques-Plante",Shawinigan
Centre Richard-Lebeau,"375, rue Germain",Saint-Léonard-d'Aston
Centre sportif de Louiseville,"360, Avenue du Parc",Louiseville
Centre sportif et communautaire,"52, rue Kenosi, C.P. 221",Wemotaci
Colisée et aréna Claude Mongrain,"1740, Avenue Gilles-Villeneuve, C.P. 368",Trois-Rivières
Colisée municipal,"360, Lucien-Filion",La Tuque
